user_id,media_source,version,CPI,dt
5e08264e,Facebook Ads,0.3,0.34,2022-10-15
d013ee50,Facebook Ads,0.4,0.15,2022-10-21
6cc4bb87,Google Adwords,0.3,0.085,2022-10-13
197d5efe,Facebook Ads,0.3,0.34,2022-10-11
b4640ba3,organic,0.4,,2022-10-30
defe79ea,Google Adwords,0.3,0.085,2022-10-09
c037efbd,Google Adwords,0.4,0.085,2022-10-23
a525a05b,Google Adwords,0.4,0.085,2022-10-21
b118605b,Facebook Ads,0.4,0.15,2022-10-25
8a19a46f,organic,0.3,,2022-10-15
75448365,Google Adwords,0.4,0.085,2022-10-26
0ce11399,Google Adwords,0.4,0.085,2022-10-24
fc972628,organic,0.3,,2022-10-09
ee80b144,Google Adwords,0.4,0.085,2022-10-19
216bfaf8,Facebook Ads,0.3,0.34,2022-10-13
57c7b0f6,Google Adwords,0.4,0.085,2022-10-16
56e723f8,Google Adwords,0.3,0.085,2022-10-06
e5019696,Facebook Ads,0.4,0.15,2022-10-22
65c051e4,Google Adwords,0.3,0.085,2022-10-04
31174623,Google Adwords,0.4,0.085,2022-10-21
7ce8253b,organic,0.4,,2022-10-24
bda7a588,Google Adwords,0.4,0.085,2022-10-21
1fb30707,Google Adwords,0.3,0.085,2022-10-12
81300257,Google Adwords,0.3,0.085,2022-10-04
4f1dc55e,Facebook Ads,0.4,0.15,2022-10-19
345ea914,Facebook Ads,0.3,0.34,2022-10-08
70c6b0a3,Google Adwords,0.4,0.085,2022-10-31
282f02ea,Facebook Ads,0.3,0.34,2022-10-07
2d3ddb7e,Google Adwords,0.4,0.085,2022-10-25
0760a70f,Facebook Ads,0.3,0.34,2022-10-14
89349dc0,organic,0.3,,2022-10-01
a26be74b,Google Adwords,0.4,0.085,2022-10-19
d9ab0166,Google Adwords,0.4,0.085,2022-10-25
09464450,Google Adwords,0.4,0.085,2022-10-30
212b4df3,Google Adwords,0.4,0.085,2022-10-27
17835dc1,Google Adwords,0.4,0.085,2022-10-28
8e1c5eae,Facebook Ads,0.4,0.15,2022-10-16
3c6f0853,Facebook Ads,0.4,0.15,2022-10-25
62f0e11f,organic,0.3,,2022-10-03
336db641,Google Adwords,0.4,0.085,2022-10-24
388c3ca7,Google Adwords,0.3,0.085,2022-10-12
57c3a51a,Facebook Ads,0.3,0.34,2022-10-06
9e1be22f,Google Adwords,0.4,0.085,2022-10-25
a9374ae5,Google Adwords,0.4,0.085,2022-10-16
9d8cebed,Google Adwords,0.4,0.085,2022-10-27
bb72d210,Google Adwords,0.4,0.085,2022-10-30
2712de75,organic,0.3,,2022-10-12
ce2d0360,organic,0.4,,2022-10-20
8a470e17,Google Adwords,0.4,0.085,2022-10-18
59e2b534,Facebook Ads,0.4,0.15,2022-10-26
ccc8639c,Facebook Ads,0.4,0.15,2022-10-26
852db3e8,Google Adwords,0.3,0.085,2022-10-08
65877757,organic,0.4,,2022-10-31
c299db08,Google Adwords,0.3,0.085,2022-10-09
509d5b4c,Facebook Ads,0.4,0.15,2022-10-24
d46b3f63,Google Adwords,0.3,0.085,2022-10-11
b6cde126,Google Adwords,0.3,0.085,2022-10-10
1361e60b,Facebook Ads,0.4,0.15,2022-10-18
ba134957,Google Adwords,0.3,0.085,2022-10-12
b57d1561,Google Adwords,0.4,0.085,2022-10-30
d6d1dc74,organic,0.3,,2022-10-07
bfb63783,Google Adwords,0.4,0.085,2022-10-27
957a1cae,Google Adwords,0.3,0.085,2022-10-09
020faf7c,Facebook Ads,0.3,0.34,2022-10-02
4d70c0cc,Google Adwords,0.3,0.085,2022-10-12
b2f774e3,Google Adwords,0.4,0.085,2022-10-27
490d8658,Google Adwords,0.4,0.085,2022-10-29
9079f2fb,Google Adwords,0.3,0.085,2022-10-12
18da947a,Google Adwords,0.3,0.085,2022-10-12
3f46bc77,organic,0.4,,2022-10-17
44e9e78e,Google Adwords,0.4,0.085,2022-10-19
7226c12f,organic,0.4,,2022-10-29
4137c0e3,Google Adwords,0.3,0.085,2022-10-11
dba78271,Google Adwords,0.3,0.085,2022-10-07
7c4961a5,Google Adwords,0.4,0.085,2022-10-27
0538163e,organic,0.4,,2022-10-27
681fefe8,Facebook Ads,0.3,0.34,2022-10-14
34514bba,Facebook Ads,0.4,0.15,2022-10-17
84d7b1ed,organic,0.3,,2022-10-06
c48139e9,Google Adwords,0.4,0.085,2022-10-24
14736de2,Google Adwords,0.4,0.085,2022-10-27
502d0d21,Google Adwords,0.4,0.085,2022-10-25
3c81e6c7,Google Adwords,0.3,0.085,2022-10-05
f117f4e2,Facebook Ads,0.4,0.15,2022-10-19
2ac2207f,Google Adwords,0.4,0.085,2022-10-30
4f09af49,Google Adwords,0.4,0.085,2022-10-18
08ed09fb,Google Adwords,0.4,0.085,2022-10-21
f0b8f6d8,Google Adwords,0.3,0.085,2022-10-15
c4176e71,Google Adwords,0.4,0.085,2022-10-31
0dfc1ad6,Facebook Ads,0.4,0.15,2022-10-16
470cc1f1,Google Adwords,0.4,0.085,2022-10-20
1ab40495,Google Adwords,0.4,0.085,2022-10-28
723e2f85,Google Adwords,0.4,0.085,2022-10-31
0b755c73,Facebook Ads,0.4,0.15,2022-10-19
523aac19,Google Adwords,0.4,0.085,2022-10-28
f01de47a,Google Adwords,0.3,0.085,2022-10-08
95579f76,Facebook Ads,0.4,0.15,2022-10-28
7b75320a,Google Adwords,0.4,0.085,2022-10-23
c4fc4a79,Google Adwords,0.4,0.085,2022-10-22
ecb029f2,Google Adwords,0.3,0.085,2022-10-09
a7010726,Facebook Ads,0.4,0.15,2022-10-23
5eeee1d7,Google Adwords,0.4,0.085,2022-10-26
5654a5f4,Google Adwords,0.4,0.085,2022-10-24
69303dc2,Facebook Ads,0.4,0.15,2022-10-30
90d51813,organic,0.4,,2022-10-26
b1a2310a,Google Adwords,0.3,0.085,2022-10-15
3574ad66,Facebook Ads,0.4,0.15,2022-10-27
e83fff8e,Google Adwords,0.3,0.085,2022-10-01
76ef4133,Google Adwords,0.4,0.085,2022-10-23
3a993461,Google Adwords,0.3,0.085,2022-10-11
b0367c7d,Google Adwords,0.3,0.085,2022-10-02
aab4d8f2,Facebook Ads,0.4,0.15,2022-10-18
f6a595c1,Google Adwords,0.4,0.085,2022-10-23
dbe4088a,Google Adwords,0.3,0.085,2022-10-15
ef5e905b,Google Adwords,0.3,0.085,2022-10-09
854c05e6,Google Adwords,0.4,0.085,2022-10-29
40214999,Google Adwords,0.3,0.085,2022-10-11
8a870678,Google Adwords,0.4,0.085,2022-10-27
bea6fbf0,Facebook Ads,0.4,0.15,2022-10-21
2659fa69,Google Adwords,0.3,0.085,2022-10-15
947fd22a,Facebook Ads,0.4,0.15,2022-10-28
06833233,Facebook Ads,0.3,0.34,2022-10-13
34f01f92,Google Adwords,0.4,0.085,2022-10-20
46b9d48a,Google Adwords,0.3,0.085,2022-10-13
b6c1d90f,Google Adwords,0.4,0.085,2022-10-24
ab3f802e,Google Adwords,0.4,0.085,2022-10-16
af827f17,Facebook Ads,0.4,0.15,2022-10-19
6f6d3d83,Google Adwords,0.4,0.085,2022-10-23
54f05411,Facebook Ads,0.3,0.34,2022-10-08
cfa2e39f,organic,0.3,,2022-10-13
31101e6d,Facebook Ads,0.3,0.34,2022-10-10
bfa3e4f9,Facebook Ads,0.4,0.15,2022-10-27
6b539351,Google Adwords,0.3,0.085,2022-10-08
085b931a,Facebook Ads,0.3,0.34,2022-10-10
57dc163d,Google Adwords,0.3,0.085,2022-10-09
7d6e54aa,Google Adwords,0.3,0.085,2022-10-05
be1e53a0,Google Adwords,0.4,0.085,2022-10-20
c17a63ac,Facebook Ads,0.4,0.15,2022-10-18
5bc2b684,Facebook Ads,0.3,0.34,2022-10-11
d837dc50,Google Adwords,0.3,0.085,2022-10-11
9dd0e811,Google Adwords,0.3,0.085,2022-10-12
f70ba622,Google Adwords,0.3,0.085,2022-10-05
5bcefee9,Google Adwords,0.3,0.085,2022-10-03
0023b4b3,organic,0.3,,2022-10-01
3bce4849,Facebook Ads,0.4,0.15,2022-10-25
bb4f4635,Google Adwords,0.3,0.085,2022-10-06
f4be0cf9,Google Adwords,0.4,0.085,2022-10-19
a6778f9a,Google Adwords,0.3,0.085,2022-10-15
8051c0ce,Google Adwords,0.3,0.085,2022-10-06
eabe62c6,Google Adwords,0.4,0.085,2022-10-19
64378319,Facebook Ads,0.4,0.15,2022-10-20
ff22fb08,Google Adwords,0.4,0.085,2022-10-27
d99537a4,Facebook Ads,0.4,0.15,2022-10-23
deb9aa32,Facebook Ads,0.4,0.15,2022-10-29
f70f3590,Google Adwords,0.4,0.085,2022-10-31
50062998,Google Adwords,0.4,0.085,2022-10-30
36dd5942,Facebook Ads,0.4,0.15,2022-10-31
b5832fde,Google Adwords,0.4,0.085,2022-10-23
19587536,Google Adwords,0.3,0.085,2022-10-07
9b14adf7,Facebook Ads,0.4,0.15,2022-10-31
95928a8e,Google Adwords,0.4,0.085,2022-10-27
4ce95c70,Facebook Ads,0.4,0.15,2022-10-19
d35d0535,Facebook Ads,0.3,0.34,2022-10-13
c25fac98,Google Adwords,0.4,0.085,2022-10-16
b4fca5d9,Google Adwords,0.3,0.085,2022-10-02
18959ae5,Facebook Ads,0.4,0.15,2022-10-18
330eda73,Google Adwords,0.4,0.085,2022-10-26
68016262,Facebook Ads,0.4,0.15,2022-10-18
341fe2de,Google Adwords,0.4,0.085,2022-10-17
62954eef,Facebook Ads,0.4,0.15,2022-10-25
775be130,Facebook Ads,0.4,0.15,2022-10-16
7cef2077,Google Adwords,0.4,0.085,2022-10-24
eb63524e,Google Adwords,0.4,0.085,2022-10-25
63aba22d,Google Adwords,0.3,0.085,2022-10-08
f14817ba,Facebook Ads,0.3,0.34,2022-10-10
8b25b264,Google Adwords,0.4,0.085,2022-10-19
0e65b70a,Facebook Ads,0.4,0.15,2022-10-22
74b7f6f3,Google Adwords,0.4,0.085,2022-10-23
52c4f955,Google Adwords,0.3,0.085,2022-10-09
839b444e,organic,0.4,,2022-10-27
767ba191,Google Adwords,0.3,0.085,2022-10-13
26c636ec,Google Adwords,0.4,0.085,2022-10-27
7166561e,Facebook Ads,0.3,0.34,2022-10-02
5e7b3f23,Google Adwords,0.3,0.085,2022-10-03
a139eceb,Google Adwords,0.4,0.085,2022-10-30
8347a19f,Facebook Ads,0.3,0.34,2022-10-04
ab4af904,Facebook Ads,0.3,0.34,2022-10-12
48323ea8,Google Adwords,0.3,0.085,2022-10-01
55fd8894,Google Adwords,0.4,0.085,2022-10-23
a18d65a2,Facebook Ads,0.4,0.15,2022-10-22
abddd0d7,Google Adwords,0.4,0.085,2022-10-24
097460d8,Facebook Ads,0.3,0.34,2022-10-03
d5c6716e,organic,0.3,,2022-10-07
aee41f91,Facebook Ads,0.3,0.34,2022-10-15
bb9d70a4,Google Adwords,0.4,0.085,2022-10-20
b66b27be,Google Adwords,0.3,0.085,2022-10-06
10dc2293,Google Adwords,0.4,0.085,2022-10-21
d01b3c85,Facebook Ads,0.4,0.15,2022-10-16
c13c3205,Google Adwords,0.4,0.085,2022-10-20
5453d4ce,Facebook Ads,0.3,0.34,2022-10-13
8d247460,Google Adwords,0.4,0.085,2022-10-27
90f4a9d6,Google Adwords,0.3,0.085,2022-10-12
32c1c730,Facebook Ads,0.4,0.15,2022-10-16
b0f11530,Facebook Ads,0.3,0.34,2022-10-15
4a995201,Facebook Ads,0.3,0.34,2022-10-08
3d2c87a2,Google Adwords,0.4,0.085,2022-10-27
97b2d649,Google Adwords,0.4,0.085,2022-10-19
82fb3898,Google Adwords,0.3,0.085,2022-10-11
edc89aac,organic,0.3,,2022-10-09
6e91dced,Google Adwords,0.4,0.085,2022-10-31
f58f7e26,Google Adwords,0.4,0.085,2022-10-30
cc876368,Google Adwords,0.4,0.085,2022-10-26
a4396fd0,Google Adwords,0.3,0.085,2022-10-05
7a60d1ff,Google Adwords,0.4,0.085,2022-10-26
2e42008c,Facebook Ads,0.3,0.34,2022-10-03
b601d9ba,Google Adwords,0.4,0.085,2022-10-16
f9ddb850,Google Adwords,0.4,0.085,2022-10-27
4a722273,Google Adwords,0.3,0.085,2022-10-07
f62ef517,Google Adwords,0.3,0.085,2022-10-14
770e679f,Facebook Ads,0.4,0.15,2022-10-16
b260a4d1,Facebook Ads,0.4,0.15,2022-10-30
d902162e,Google Adwords,0.3,0.085,2022-10-11
a4826c30,Facebook Ads,0.3,0.34,2022-10-14
7b9e2d21,organic,0.3,,2022-10-04
4baf165c,Google Adwords,0.3,0.085,2022-10-02
5f358103,Facebook Ads,0.3,0.34,2022-10-13
74891154,Google Adwords,0.4,0.085,2022-10-24
c72b404c,Facebook Ads,0.4,0.15,2022-10-19
5a528f75,Google Adwords,0.4,0.085,2022-10-23
b5e41891,Google Adwords,0.4,0.085,2022-10-16
302f8235,Google Adwords,0.4,0.085,2022-10-17
e61d03ca,Facebook Ads,0.4,0.15,2022-10-17
c2be83fa,Facebook Ads,0.3,0.34,2022-10-15
36cb4e90,Google Adwords,0.3,0.085,2022-10-06
6b7b17d3,Google Adwords,0.4,0.085,2022-10-26
32a29f5e,Google Adwords,0.3,0.085,2022-10-02
75554960,Google Adwords,0.3,0.085,2022-10-08
3c058da7,Facebook Ads,0.4,0.15,2022-10-18
45d546a2,Facebook Ads,0.4,0.15,2022-10-18
ceb48d74,Google Adwords,0.4,0.085,2022-10-21
c73f2e5b,organic,0.4,,2022-10-28
079c6a85,Google Adwords,0.4,0.085,2022-10-29
eafe17bf,Google Adwords,0.3,0.085,2022-10-14
e931dbd8,Google Adwords,0.4,0.085,2022-10-30
3b64269a,Google Adwords,0.3,0.085,2022-10-04
b477f926,Facebook Ads,0.4,0.15,2022-10-31
556b5fb0,Google Adwords,0.4,0.085,2022-10-25
c4a86e14,Facebook Ads,0.3,0.34,2022-10-09
7998b418,Facebook Ads,0.4,0.15,2022-10-20
20f968e4,Facebook Ads,0.3,0.34,2022-10-12
eaadb485,Google Adwords,0.3,0.085,2022-10-06
96b1a79b,Google Adwords,0.3,0.085,2022-10-03
aa7ebe9a,Google Adwords,0.3,0.085,2022-10-05
48578bf9,organic,0.4,,2022-10-25
639ad843,organic,0.4,,2022-10-31
a51af45f,Google Adwords,0.3,0.085,2022-10-01
5afa8ae8,Facebook Ads,0.4,0.15,2022-10-20
3526197f,Google Adwords,0.4,0.085,2022-10-31
56045245,Google Adwords,0.4,0.085,2022-10-18
0b6d49be,Google Adwords,0.3,0.085,2022-10-06
e31b905a,Facebook Ads,0.3,0.34,2022-10-01
42362757,Google Adwords,0.4,0.085,2022-10-16
677acdd5,organic,0.4,,2022-10-30
c8875840,Google Adwords,0.3,0.085,2022-10-06
989f7654,Facebook Ads,0.4,0.15,2022-10-26
00a15b75,Google Adwords,0.3,0.085,2022-10-04
fbe8d58c,Google Adwords,0.3,0.085,2022-10-02
b7ac2bbc,Google Adwords,0.3,0.085,2022-10-08
64e5d3b9,organic,0.4,,2022-10-16
492e6e4e,Google Adwords,0.4,0.085,2022-10-26
f9010506,Google Adwords,0.4,0.085,2022-10-20
ba0ee153,Google Adwords,0.3,0.085,2022-10-01
fb3f3495,Facebook Ads,0.4,0.15,2022-10-26
1b5765a9,Facebook Ads,0.4,0.15,2022-10-16
f271345c,Google Adwords,0.3,0.085,2022-10-03
396b4aa9,Google Adwords,0.3,0.085,2022-10-10
fe71a71d,Facebook Ads,0.4,0.15,2022-10-22
1598d313,Google Adwords,0.4,0.085,2022-10-21
4a242fd8,Google Adwords,0.3,0.085,2022-10-13
0bc49e08,organic,0.3,,2022-10-06
6a7dfcd6,Google Adwords,0.4,0.085,2022-10-21
e9a6ee37,Google Adwords,0.4,0.085,2022-10-25
0a2070cc,Facebook Ads,0.3,0.34,2022-10-10
f6667ae8,Google Adwords,0.3,0.085,2022-10-03
b82c60f2,Facebook Ads,0.4,0.15,2022-10-31
7ec15063,Google Adwords,0.3,0.085,2022-10-01
55920711,Facebook Ads,0.4,0.15,2022-10-26
cd8ee129,Google Adwords,0.4,0.085,2022-10-28
e9a1b660,Google Adwords,0.4,0.085,2022-10-19
77e89838,Google Adwords,0.4,0.085,2022-10-20
b9afeab9,Facebook Ads,0.4,0.15,2022-10-24
6775b428,Google Adwords,0.3,0.085,2022-10-09
3ff5df1e,organic,0.4,,2022-10-31
44ac5de4,Google Adwords,0.4,0.085,2022-10-18
55256758,Google Adwords,0.4,0.085,2022-10-21
0b78f8c8,Google Adwords,0.4,0.085,2022-10-17
c6716345,organic,0.4,,2022-10-17
3b308e7e,Google Adwords,0.4,0.085,2022-10-30
70aeab18,Google Adwords,0.3,0.085,2022-10-14
a6346bf4,Facebook Ads,0.4,0.15,2022-10-27
28dc7d8b,Facebook Ads,0.3,0.34,2022-10-12
1fa10fe9,Google Adwords,0.4,0.085,2022-10-16
f2e41936,Facebook Ads,0.4,0.15,2022-10-19
681a4459,Google Adwords,0.4,0.085,2022-10-31
833206b7,organic,0.4,,2022-10-29
90405e6e,Google Adwords,0.4,0.085,2022-10-17
bebabf41,Facebook Ads,0.4,0.15,2022-10-27
cfea964e,Google Adwords,0.3,0.085,2022-10-04
f825bcb5,Google Adwords,0.3,0.085,2022-10-07
4b99840b,Facebook Ads,0.3,0.34,2022-10-09
9b8833a6,Google Adwords,0.3,0.085,2022-10-12
361c02a9,organic,0.3,,2022-10-14
74b479b5,Facebook Ads,0.4,0.15,2022-10-30
0c4dfd93,Facebook Ads,0.4,0.15,2022-10-27
1f977116,organic,0.3,,2022-10-06
ccc7930e,Facebook Ads,0.4,0.15,2022-10-29
b4c21fd2,Facebook Ads,0.4,0.15,2022-10-21
fe59e542,organic,0.4,,2022-10-23
810d114e,Google Adwords,0.3,0.085,2022-10-13
49deefdd,Google Adwords,0.3,0.085,2022-10-03
e27de224,Google Adwords,0.3,0.085,2022-10-06
143498db,Google Adwords,0.3,0.085,2022-10-14
b9468a0d,Google Adwords,0.3,0.085,2022-10-05
f4a256e8,organic,0.4,,2022-10-31
50ae75c8,Facebook Ads,0.4,0.15,2022-10-24
15572ea4,Google Adwords,0.3,0.085,2022-10-12
485d0728,Google Adwords,0.3,0.085,2022-10-02
f130dc80,Google Adwords,0.3,0.085,2022-10-07
7ea8bf94,Google Adwords,0.4,0.085,2022-10-16
9a0c10ba,Google Adwords,0.3,0.085,2022-10-09
d7452516,Google Adwords,0.3,0.085,2022-10-04
300acbca,Google Adwords,0.4,0.085,2022-10-26
19eb6ccf,Google Adwords,0.3,0.085,2022-10-08
70a59ebd,Facebook Ads,0.4,0.15,2022-10-30
ccd86fc1,Facebook Ads,0.3,0.34,2022-10-01
e1c59f96,Facebook Ads,0.3,0.34,2022-10-09
534fcd59,Google Adwords,0.4,0.085,2022-10-24
3a4c1344,Facebook Ads,0.3,0.34,2022-10-12
c7dbc28c,Facebook Ads,0.4,0.15,2022-10-19
